  0.000
10.00 -0.702 -0.709 -0.729 -0.765 -0.809 -0.837 -0.822 -0.748 -0.598 -0.355 -0.012  0.415  0.865  1.320  1.749  2.097  2.373  2.620  2.782  2.986  3.189  3.390  3.571  3.634  3.294  2.535  1.591  0.565 -0.478 -1.526 -2.575
10.00 -0.695 -0.694 -0.689 -0.674 -0.644 -0.617 -0.587 -0.528 -0.402 -0.194  0.083  0.449  0.865  1.325  1.796  2.228  2.605  2.913  3.104  3.353  3.601  3.837  3.995  3.824  3.208  2.363  1.398  0.367 -0.677 -1.726 -2.774
10.00 -0.695 -0.693 -0.685 -0.666 -0.613 -0.500 -0.350 -0.204 -0.051  0.136  0.362  0.643  0.969  1.377  1.846  2.336  2.780  3.123  3.373  3.669  3.959  4.210  4.234  3.788  3.059  2.182  1.202  0.168 -0.877 -1.925 -2.974
10.00 -0.695 -0.694 -0.687 -0.670 -0.624 -0.514 -0.300 -0.006  0.288  0.534  0.756  0.987  1.227  1.537  1.949  2.434  2.903  3.290  3.587  3.927  4.253  4.468  4.270  3.665  2.895  2.000  1.006 -0.031 -1.077 -2.125 -3.174
10.00 -0.695 -0.694 -0.688 -0.675 -0.636 -0.542 -0.355 -0.033  0.397  0.807  1.130  1.375  1.588  1.826  2.149  2.573  3.027  3.435  3.771  4.139  4.474  4.582  4.189  3.519  2.727  1.815  0.809 -0.230 -1.276 -2.325 -3.373
10.00 -0.694 -0.693 -0.688 -0.676 -0.646 -0.565 -0.406 -0.132  0.281  0.796  1.293  1.674  1.949  2.175  2.443  2.780  3.179  3.587  3.941  4.314  4.620  4.577  4.065  3.365  2.555  1.627  0.612 -0.429 -1.476 -2.524 -3.573
10.00 -0.693 -0.691 -0.686 -0.676 -0.650 -0.583 -0.446 -0.209  0.146  0.622  1.183  1.731  2.164  2.480  2.752  3.038  3.372  3.746  4.101  4.452  4.688  4.501  3.926  3.209  2.379  1.437  0.414 -0.628 -1.676 -2.724 -3.772
10.00 -0.693 -0.688 -0.682 -0.673 -0.651 -0.593 -0.476 -0.267  0.053  0.480  1.003  1.587  2.161  2.629  2.989  3.292  3.595  3.927  4.264  4.571  4.709  4.397  3.783  3.050  2.201  1.244  0.216 -0.828 -1.875 -2.924 -3.971
10.00 -0.693 -0.688 -0.678 -0.667 -0.645 -0.596 -0.493 -0.307 -0.011  0.391  0.885  1.436  2.041  2.613  3.088  3.472  3.798  4.113  4.423  4.686  4.705  4.281  3.637  2.888  2.020  1.049  0.018 -1.027 -2.075 -3.123 -4.170
10.00 -0.694 -0.688 -0.677 -0.659 -0.634 -0.589 -0.496 -0.326 -0.049  0.346  0.821  1.356  1.940  2.533  3.085  3.555  3.939  4.269  4.558  4.781  4.668  4.156  3.489  2.724  1.838  0.853 -0.181 -1.227 -2.274 -3.322 -4.369
10.00 -0.693 -0.689 -0.678 -0.655 -0.622 -0.573 -0.486 -0.326 -0.062  0.331  0.799  1.325  1.893  2.475  3.055  3.578  4.019  4.379  4.664  4.840  4.596  4.024  3.338  2.557  1.655  0.657 -0.380 -1.426 -2.474 -3.522 -4.567
10.00 -0.692 -0.689 -0.680 -0.655 -0.614 -0.556 -0.465 -0.310 -0.048  0.343  0.809  1.334  1.893  2.465  3.048  3.591  4.064  4.447  4.713  4.828  4.487  3.884  3.185  2.386  1.469  0.460 -0.579 -1.626 -2.673 -3.721 -4.765
10.00 -0.690 -0.688 -0.680 -0.657 -0.612 -0.541 -0.438 -0.277 -0.014  0.370  0.842  1.371  1.925  2.499  3.073  3.617  4.098  4.482  4.720  4.768  4.363  3.741  3.030  2.213  1.281  0.263 -0.778 -1.825 -2.873 -3.919 -4.963
10.00 -0.687 -0.685 -0.678 -0.659 -0.615 -0.534 -0.416 -0.241  0.031  0.425  0.900  1.430  1.978  2.551  3.119  3.651  4.118  4.482  4.686  4.672  4.229  3.595  2.873  2.037  1.090  0.065 -0.978 -2.025 -3.072 -4.118 -5.159
10.00 -0.686 -0.683 -0.677 -0.660 -0.620 -0.537 -0.404 -0.209  0.080  0.483  0.964  1.491  2.032  2.598  3.154  3.667  4.107  4.437  4.605  4.549  4.090  3.448  2.713  1.858  0.896 -0.133 -1.177 -2.224 -3.271 -4.316 -5.355
10.00 -0.685 -0.683 -0.677 -0.663 -0.626 -0.547 -0.407 -0.193  0.117  0.528  1.012  1.532  2.066  2.613  3.145  3.631  4.042  4.342  4.492  4.414  3.948  3.299  2.551  1.676  0.701 -0.332 -1.376 -2.423 -3.470 -4.514 -5.550
10.00 -0.689 -0.686 -0.680 -0.667 -0.636 -0.564 -0.426 -0.203  0.118  0.532  1.013  1.522  2.041  2.563  3.067  3.528  3.919  4.202  4.355  4.274  3.806  3.148  2.385  1.494  0.505 -0.530 -1.576 -2.623 -3.668 -4.710 -5.744
10.00 -0.692 -0.689 -0.683 -0.672 -0.645 -0.582 -0.454 -0.236  0.082  0.489  0.956  1.448  1.948  2.448  2.930  3.375  3.757  4.039  4.203  4.131  3.663  2.996  2.217  1.310  0.309 -0.729 -1.775 -2.822 -3.867 -4.907 -5.936
10.00 -0.695 -0.693 -0.689 -0.680 -0.656 -0.601 -0.487 -0.284  0.016  0.403  0.849  1.323  1.807  2.292  2.761  3.199  3.579  3.869  4.048  3.988  3.520  2.843  2.046  1.124  0.112 -0.928 -1.974 -3.021 -4.064 -5.102 -6.127
10.00 -0.696 -0.695 -0.692 -0.685 -0.667 -0.620 -0.520 -0.338 -0.062  0.298  0.718  1.173  1.646  2.120  2.583  3.019  3.399  3.702  3.895  3.847  3.375  2.687  1.871  0.934 -0.086 -1.127 -2.173 -3.219 -4.262 -5.296 -6.315
10.00 -0.697 -0.697 -0.695 -0.689 -0.674 -0.636 -0.550 -0.390 -0.142  0.188  0.583  1.021  1.482  1.949  2.409  2.844  3.225  3.543  3.743  3.705  3.230  2.530  1.694  0.742 -0.284 -1.326 -2.372 -3.417 -4.458 -5.489 -6.501
10.00 -0.697 -0.697 -0.696 -0.692 -0.680 -0.649 -0.577 -0.439 -0.219  0.083  0.453  0.874  1.324  1.786  2.243  2.679  3.061  3.394  3.599  3.566  3.083  2.370  1.514  0.548 -0.482 -1.525 -2.571 -3.615 -4.654 -5.680 -6.683
10.00 -0.699 -0.698 -0.697 -0.694 -0.685 -0.660 -0.601 -0.484 -0.290 -0.014  0.334  0.737  1.177  1.633  2.087  2.523  2.909  3.251  3.460  3.429  2.936  2.207  1.332  0.352 -0.681 -1.725 -2.770 -3.813 -4.848 -5.869 -6.862
10.00 -0.699 -0.699 -0.698 -0.695 -0.688 -0.667 -0.619 -0.521 -0.353 -0.102  0.226  0.613  1.041  1.491  1.942  2.375  2.768  3.115  3.326  3.292  2.787  2.041  1.150  0.157 -0.879 -1.924 -2.968 -4.010 -5.042 -6.056 -7.037
10.00 -0.699 -0.699 -0.698 -0.695 -0.690 -0.673 -0.633 -0.551 -0.407 -0.181  0.127  0.499  0.917  1.358  1.807  2.238  2.638  2.986  3.198  3.156  2.636  1.872  0.965 -0.040 -1.078 -2.122 -3.166 -4.205 -5.233 -6.239 -7.206
